carrier_name|id
Carrier 113782|301
Carrier 866391|302
Carrier 1436653|303
Carrier 387666|304
Carrier 1391174|305
Carrier 173773|306
Carrier 1347580|307
Carrier 1694488|308
Carrier 1695637|309
Carrier 22382|310
Carrier 2903|311
Carrier 1695425|312
Carrier 66390|313
Carrier 1662724|314
Carrier 38031|315
Carrier 1695499|316
Carrier 1008272|317
Carrier 129512|318
Carrier 1465509|319
Carrier 1599978|320
Carrier 347141|321
Carrier 1431338|322
Carrier 28948|323
Carrier 1335293|324
Carrier 1695356|325
Carrier 1026284|326
Carrier 1017413|327
Carrier 1695687|328
Carrier 105524|329
Carrier 147833|330
Carrier 1563442|331
Carrier 1025710|332
Carrier 995571|333
Carrier 1695835|334
Carrier 733410|335
Carrier 65608|336
Carrier 1076087|337
Carrier 974851|338
Carrier 872938|339
Carrier 1695385|340
Carrier 1071312|341
Carrier 1695675|342
Carrier 1050359|343
Carrier 29828|344
Carrier 1465972|345
Carrier 1024511|346
Carrier 180807|347
Carrier 362291|348
Carrier 1069795|349
Carrier 64827|350
Carrier 1630157|351
Carrier 1177126|352
Carrier 866676|353
Carrier 1642904|354
Carrier 945198|355
Carrier 49473|356
Carrier 1052781|357
Carrier 1431022|358
Carrier 1425578|359
Carrier 17714|360
Carrier 84277|361
Carrier 1627334|362
Carrier 1338964|363
Carrier 1445874|364
Carrier 92375|365
Carrier 1695516|366
Carrier 1660310|367
Carrier 1545580|368
Carrier 1451271|369
Carrier 800998|370
Carrier 1629880|371
Carrier 1016407|372
Carrier 23611|373
Carrier 1368530|374
Carrier 1031513|375
Carrier 75514|376
Carrier 1554127|377
Carrier 1695737|378
Carrier 997964|379
Carrier 984374|380
Carrier 1289226|381
Carrier 1022199|382
Carrier 956190|383
Carrier 946481|384
Carrier 1335358|385
Carrier 1067348|386
Carrier 1237602|387
Carrier 1695561|388
Carrier 1084503|389
Carrier 1092587|390
Carrier 1080268|391
Carrier 1695272|392
Carrier 73537|393
Carrier 975370|394
Carrier 1436762|395
Carrier 989522|396
